# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.remove.entity.ms,1774234566493000000,1774234587986000000,0
jps.library.entities.serializer.load.entities.ms,1774234566493000000,1774234587986000000,0
workspaceModel.sync.entities.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774234566493000000,1774234587986000000,6
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774234566493000000,1774234587986000000,0
jps.load.initial.state.ms,1774234566493000000,1774234587986000000,25
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774234566493000000,1774234587986000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774234566493000000,1774234587986000000,0
workspaceModel.global.apply.state.to.project.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774234566493000000,1774234587986000000,0
jps.global.get.library.by.name.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774234566493000000,1774234587986000000,0
jps.save.global.entities.ms,1774234566493000000,1774234587986000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774234566493000000,1774234587986000000,0
workspaceModel.global.updates.ms,1774234566493000000,1774234587986000000,0
workspaceModel.do.save.caches.ms,1774234566493000000,1774234587986000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1774234566493000000,1774234587986000000,1
jps.library.entities.serializer.save.entities.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1774234566493000000,1774234587986000000,0
jps.global.handle.changed.events.ms,1774234566493000000,1774234587986000000,0
workspaceModel.load.cache.from.file.ms,1774234566493000000,1774234587986000000,0
workspaceModel.save.cache.to.file.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774234566493000000,1774234587986000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774234566493000000,1774234587986000000,8
jps.app.storage.content.reader.load.component.ms,1774234566493000000,1774234587986000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1774234566493000000,1774234587986000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774234566493000000,1774234587986000000,0
jps.app.storage.content.writer.save.component.ms,1774234566493000000,1774234587986000000,1
jps.global.get.libraries.ms,1774234566493000000,1774234587986000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774234566493000000,1774234587986000000,0
jps.global.get.library.ms,1774234566493000000,1774234587986000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774234566493000000,1774234587986000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1774234566493000000,1774234587986000000,0
jps.global.initialize.library.bridges.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774234566493000000,1774234587986000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774234566493000000,1774234587986000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774234566493000000,1774234587986000000,1
jps.global.handle.before.change.events.ms,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.instances.count,1774234566493000000,1774234587986000000,2
workspaceModel.global.updates.count,1774234566493000000,1774234587986000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774234566493000000,1774234587986000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774234566493000000,1774234587986000000,0
cacheStateStorage.get.duration,1774234566493000000,1774234587986000000,0
cacheStateStorage.get.counter,1774234566493000000,1774234587986000000,4
cacheStateStorage.set.counter,1774234566493000000,1774234587986000000,2
cacheStateStorage.set.duration,1774234566493000000,1774234587986000000,20
writeAction.max.wait.ms,1774234566493000000,1774234587986000000,1
writeAction.count,1774234566493000000,1774234587986000000,4
DiskQueryRelay.tasksRequested,1774234566493000000,1774234587986000000,40
writeAction.wait.ms,1774234566493000000,1774234587986000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1774234566493000000,1774234587986000000,2699
writeAction.median.wait.ms,1774234566493000000,1774234587986000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1774234566493000000,1774234587986000000,12643
DiskQueryRelay.tasksExecuted,1774234566493000000,1774234587986000000,40
FileChannelInterruptsRetryer.totalRetriedAttempts,1774234566493000000,1774234587986000000,0
StorageLockContext.competingThreads.90P,1774234566493000000,1774234587986000000,0
DirectByteBufferAllocator.reclaimed,1774234566493000000,1774234587986000000,43
DirectByteBufferAllocator.hits,1774234566493000000,1774234587986000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774234566493000000,1774234587986000000,41943040
FilePageCache.pageLoads,1774234566493000000,1774234587986000000,200
StorageLockContext.competingThreads.avg,1774234566493000000,1774234587986000000,0.0
FilePageCache.pageHits,1774234566493000000,1774234587986000000,0
DirectByteBufferAllocator.disposed,1774234566493000000,1774234587986000000,157
FilePageCache.maxCacheSizeInBytes,1774234566493000000,1774234587986000000,206569472
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774234566493000000,1774234587986000000,41943040
FilePageCache.pageFastCacheHits,1774234566493000000,1774234587986000000,3956
FilePageCache.disposedBuffers,1774234566493000000,1774234587986000000,200
FilePageCache.capacityInBytes,1774234566493000000,1774234587986000000,629145600
StorageLockContext.competingThreads.max,1774234566493000000,1774234587986000000,0
FilePageCache.totalPageDisposalsUs,1774234566493000000,1774234587986000000,1818
FilePageCache.uncachedFileAccess,1774234566493000000,1774234587986000000,118
FilePageCache.maxRegisteredFiles,1774234566493000000,1774234587986000000,543
DirectByteBufferAllocator.misses,1774234566493000000,1774234587986000000,197
FilePageCache.pageLoadsAboveSizeThreshold,1774234566493000000,1774234587986000000,0
FilePageCache.totalPageLoadsUs,1774234566493000000,1774234587986000000,239140
