# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1774198410040000000,1774198431088000000,2
cacheStateStorage.set.duration,1774198410040000000,1774198431088000000,14
cacheStateStorage.get.duration,1774198410040000000,1774198431088000000,0
cacheStateStorage.get.counter,1774198410040000000,1774198431088000000,4
workspaceModel.pre.handlers.ms,1774198410040000000,1774198431088000000,0
workspaceModel.to.snapshot.ms,1774198410040000000,1774198431088000000,0
workspaceModel.loading.from.cache.ms,1774198410040000000,1774198431088000000,19
workspaceModel.full.replace.project.model.ms,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValue.clear.count,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValue.total.get.count,1774198410040000000,1774198431088000000,17
workspaceModel.on.before.changed.ms,1774198410040000000,1774198431088000000,0
workspaceModel.updates.precise.ms,1774198410040000000,1774198431088000000,0
workspaceModel.updates.count,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774198410040000000,1774198431088000000,0
workspaceModel.update.unloaded.entities.ms,1774198410040000000,1774198431088000000,0
workspaceModel.updates.ms,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValue.calculated.count,1774198410040000000,1774198431088000000,2
workspaceModel.init.bridges.ms,1774198410040000000,1774198431088000000,0
workspaceModel.loading.total.ms,1774198410040000000,1774198431088000000,30
workspaceModel.entityStorageSnapshotImpl.instances.count,1774198410040000000,1774198431088000000,3
workspaceModel.check.recursive.update.ms,1774198410040000000,1774198431088000000,0
workspaceModel.collect.changes.ms,1774198410040000000,1774198431088000000,0
workspaceModel.on.changed.ms,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValue.from.cache.count,1774198410040000000,1774198431088000000,15
workspaceModel.replace.project.model.ms,1774198410040000000,1774198431088000000,0
workspaceModel.initializing.ms,1774198410040000000,1774198431088000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1774198410040000000,1774198431088000000,0
Indexes.allKeys.lookups,1774198410040000000,1774198431088000000,0
Indexes.entries.lookupDurationMaxMs,1774198410040000000,1774198431088000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1774198410040000000,1774198431088000000,0.0
Indexing.cache.totalCacheAccesses,1774198410040000000,1774198431088000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774198410040000000,1774198431088000000,0
Indexing.writesQueuedMax,1774198410040000000,1774198431088000000,0
Indexes.stubs.lookupDurationMaxMs,1774198410040000000,1774198431088000000,0.0
Indexing.totalTimeIndexersSleptMs,1774198410040000000,1774198431088000000,0
Indexes.stubs.lookupDurationAvgMs,1774198410040000000,1774198431088000000,0.0
Indexes.stubs.lookups,1774198410040000000,1774198431088000000,0
Indexes.allKeys.lookupDurationAvgMs,1774198410040000000,1774198431088000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1774198410040000000,1774198431088000000,0
Indexes.entries.lookups,1774198410040000000,1774198431088000000,1
Indexing.writesQueuedMin,1774198410040000000,1774198431088000000,9223372036854775807
Indexes.entries.lookupDurationAvgMs,1774198410040000000,1774198431088000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1774198410040000000,1774198431088000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774198410040000000,1774198431088000000,0
Indexing.cache.totalCacheMisses,1774198410040000000,1774198431088000000,0
Indexes.stubs.lookupDuration90PMs,1774198410040000000,1774198431088000000,0.0
Indexes.entries.lookupDuration90PMs,1774198410040000000,1774198431088000000,0.0
Indexes.allKeys.lookupDuration90PMs,1774198410040000000,1774198431088000000,0.0
Indexing.cache.totalCacheEvicted,1774198410040000000,1774198431088000000,0
workspaceModel.global.updates.count,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774198410040000000,1774198431088000000,1
jps.library.entities.serializer.save.entities.ms,1774198410040000000,1774198431088000000,0
jps.app.storage.content.reader.load.component.ms,1774198410040000000,1774198431088000000,1
workspaceModel.load.cache.metadata.from.file.ms,1774198410040000000,1774198431088000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774198410040000000,1774198431088000000,0
jps.global.get.library.ms,1774198410040000000,1774198431088000000,0
jps.global.handle.changed.events.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.instances.count,1774198410040000000,1774198431088000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774198410040000000,1774198431088000000,0
workspaceModel.do.save.caches.ms,1774198410040000000,1774198431088000000,0
jps.save.global.entities.ms,1774198410040000000,1774198431088000000,4
workspaceModel.mutableEntityStorage.modify.entity.ms,1774198410040000000,1774198431088000000,0
workspaceModel.global.apply.state.to.project.ms,1774198410040000000,1774198431088000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774198410040000000,1774198431088000000,0
workspaceModel.global.updates.ms,1774198410040000000,1774198431088000000,0
jps.library.entities.serializer.load.entities.ms,1774198410040000000,1774198431088000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774198410040000000,1774198431088000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774198410040000000,1774198431088000000,0
jps.global.get.libraries.ms,1774198410040000000,1774198431088000000,1
workspaceModel.save.cache.to.file.ms,1774198410040000000,1774198431088000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1774198410040000000,1774198431088000000,1
