# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1774242494843000000,1774242515410000000,1
writeAction.wait.ms,1774242494843000000,1774242515410000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1774242494843000000,1774242515410000000,2877
DiskQueryRelay.tasksExecuted,1774242494843000000,1774242515410000000,40
DiskQueryRelay.taskWaitingTotalTimeUs,1774242494843000000,1774242515410000000,11716
writeAction.median.wait.ms,1774242494843000000,1774242515410000000,0
writeAction.count,1774242494843000000,1774242515410000000,4
DiskQueryRelay.tasksRequested,1774242494843000000,1774242515410000000,40
workspaceModel.cachedValueWithParameters.from.cache.count,1774242494843000000,1774242515410000000,0
workspaceModel.updates.count,1774242494843000000,1774242515410000000,0
workspaceModel.cachedValue.calculated.count,1774242494843000000,1774242515410000000,2
workspaceModel.on.changed.ms,1774242494843000000,1774242515410000000,0
workspaceModel.cachedValue.clear.count,1774242494843000000,1774242515410000000,0
workspaceModel.update.unloaded.entities.ms,1774242494843000000,1774242515410000000,0
workspaceModel.check.recursive.update.ms,1774242494843000000,1774242515410000000,0
workspaceModel.cachedValue.from.cache.count,1774242494843000000,1774242515410000000,15
workspaceModel.updates.ms,1774242494843000000,1774242515410000000,0
workspaceModel.updates.precise.ms,1774242494843000000,1774242515410000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774242494843000000,1774242515410000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1774242494843000000,1774242515410000000,0
workspaceModel.on.before.changed.ms,1774242494843000000,1774242515410000000,0
workspaceModel.to.snapshot.ms,1774242494843000000,1774242515410000000,0
workspaceModel.init.bridges.ms,1774242494843000000,1774242515410000000,0
workspaceModel.full.replace.project.model.ms,1774242494843000000,1774242515410000000,0
workspaceModel.replace.project.model.ms,1774242494843000000,1774242515410000000,0
workspaceModel.initializing.ms,1774242494843000000,1774242515410000000,0
workspaceModel.collect.changes.ms,1774242494843000000,1774242515410000000,0
workspaceModel.loading.total.ms,1774242494843000000,1774242515410000000,24
workspaceModel.loading.from.cache.ms,1774242494843000000,1774242515410000000,19
workspaceModel.cachedValueWithParameters.total.get.count,1774242494843000000,1774242515410000000,0
workspaceModel.pre.handlers.ms,1774242494843000000,1774242515410000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774242494843000000,1774242515410000000,3
workspaceModel.cachedValue.total.get.count,1774242494843000000,1774242515410000000,17
cacheStateStorage.set.duration,1774242494843000000,1774242515410000000,13
cacheStateStorage.set.counter,1774242494843000000,1774242515410000000,2
cacheStateStorage.get.counter,1774242494843000000,1774242515410000000,4
cacheStateStorage.get.duration,1774242494843000000,1774242515410000000,0
